Name,Latitude,Longitude,,,,,
T1,49.490817,-115.113097,,,,,
T2,49.471628,-115.078303,,,,,
T3,49.501044,-115.174178,,,,,
T4,49.358333,-114.999828,,,,,
T5,49.454011,-114.880872,,,,,
T6,49.420511,-114.910647,,,,,
T7,49.496556,-115.055219,,,,,
T8,49.6736,-114.779853,,,,,
T9,50.022797,-114.917247,,,,,
T10,50.016686,-114.937358,,,,,
T11,50.355422,-114.920339,,,,,
T12,50.335444,-114.903781,,,,,
